imgt,tenx,adaptive,adaptivev2
TRBV6-6*02,TRBV6-6,TCRBV06-06*02,TCRBV06-06*02
TRBV6-6*03,TRBV6-6,TCRBV06-06*03,TCRBV06-06*03
TRBV6-6*04,TRBV6-6,TCRBV06-06*04,TCRBV06-06*04
TRBV6-6*05,TRBV6-6,TCRBV06-06*05,TCRBV06-06*05
TRBV6-7*01,TRBV6-7,TCRBV06-07*01,TCRBV06-07*01
TRBV6-8*01,TRBV6-8,TCRBV06-08*01,TCRBV06-08*01
TRBV6-9*01,TRBV6-9,TCRBV06-09*01,TCRBV06-09*01
TRBV7-1*01,TRBV7-1,TCRBV07-01*01,TCRBV07-01*01
TRBV7-2*01,TRBV7-2,TCRBV07-02*01,TCRBV07-02*01
TRBV7-2*02,TRBV7-2,TCRBV07-02*02,TCRBV07-02*02
TRBV7-2*03,TRBV7-2,TCRBV07-02*03,TCRBV07-02*03
TRBV7-2*04,TRBV7-2,TCRBV07-02*04,TCRBV07-02*04
TRBV7-3*01,TRBV7-3,TCRBV07-03*01,TCRBV07-03*01
TRBV7-3*02,TRBV7-3,TCRBV07-03*02,TCRBV07-03*02
TRBV7-3*03,TRBV7-3,TCRBV07-03*03,TCRBV07-03*03
TRBV7-3*04,TRBV7-3,TCRBV07-03*04,TCRBV07-03*04
TRBV7-3*05,TRBV7-3,TCRBV07-03*05,TCRBV07-03*05
TRBV7-4*01,TRBV7-4,TCRBV07-04*01,TCRBV07-04*01
TRBV7-4*02,TRBV7-4,TCRBV07-04*02,TCRBV07-04*02
TRBV7-5*01,TRBV7-5,TCRBV07-05*01,TCRBV07-05*01
TRBV7-5*02,TRBV7-5,TCRBV07-05*02,TCRBV07-05*02
TRBV7-6*01,TRBV7-6,TCRBV07-06*01,TCRBV07-06*01
TRBV7-6*02,TRBV7-6,TCRBV07-06*02,TCRBV07-06*02
TRBV7-7*01,TRBV7-7,TCRBV07-07*01,TCRBV07-07*01
TRBV7-7*02,TRBV7-7,TCRBV07-07*02,TCRBV07-07*02
TRBV7-8*01,TRBV7-8,TCRBV07-08*01,TCRBV07-08*01
TRBV7-8*02,TRBV7-8,TCRBV07-08*02,TCRBV07-08*02
TRBV7-8*03,TRBV7-8,TCRBV07-08*03,TCRBV07-08*03
TRBV7-9*01,TRBV7-9,TCRBV07-09*01,TCRBV07-09*01
TRBV7-9*02,TRBV7-9,TCRBV07-09*02,TCRBV07-09*02
TRBV7-9*03,TRBV7-9,TCRBV07-09*03,TCRBV07-09*03
TRBV7-9*04,TRBV7-9,TCRBV07-09*04,TCRBV07-09*04
TRBV7-9*05,TRBV7-9,TCRBV07-09*05,TCRBV07-09*05
TRBV7-9*06,TRBV7-9,TCRBV07-09*06,TCRBV07-09*06
TRBV7-9*07,TRBV7-9,TCRBV07-09*07,TCRBV07-09*07
TRBV8-1*01,TRBV8-1,TCRBV08-01*01,TCRBV08-01*01
TRBV8-1*02,TRBV8-1,TCRBV08-01*02,TCRBV08-01*02
TRBV8-2*01,TRBV8-2,TCRBV08-02*01,TCRBV08-02*01
TRBV8-2*02,TRBV8-2,TCRBV08-02*02,TCRBV08-02*02
TRBV9*01,TRBV9,TCRBV09-01*01,TCRBV09-01*01
TRBV9*02,TRBV9,TCRBV09-01*02,TCRBV09-01*02
TRBV9*03,TRBV9,TCRBV09-01*03,TCRBV09-01*03
TRBVA*01,TRBVA,TCRBVA-01*01,TCRBVA-01*01
TRBVA*02,TRBVA,TCRBVA-01*02,TCRBVA-01*02
TRBVA/OR9-2*01,TRBVA/OR9-2,TCRBVA-or09_02*01,TCRBVA-or09_02*01
TRBVB*01,TRBVB,TCRBVB-01*01,TCRBVB-01*01
TRBVB*02,TRBVB,TCRBVB-01*02,TCRBVB-01*02
TRBVC*01,TRBVC,NoData,NoData
TRDC*01,TRDC,NoData,NoData
TRDD1*01,TRDD1,TCRDD01-01*01,TCRDD01-01*01
TRDD2*01,TRDD2,TCRDD02-01*01,TCRDD02-01*01
TRDD3*01,TRDD3,TCRDD03-01*01,TCRDD03-01*01
TRDJ1*01,TRDJ1,TCRDJ01-01*01,TCRDJ01-01*01
TRDJ2*01,TRDJ2,TCRDJ02-01*01,TCRDJ02-01*01
TRDJ3*01,TRDJ3,TCRDJ03-01*01,TCRDJ03-01*01
TRDJ4*01,TRDJ4,TCRDJ04-01*01,TCRDJ04-01*01
TRDV1*01,TRDV1,TCRDV01-01*01,TCRDV01-01*01
TRDV2*01,TRDV2,TCRDV02-01*01,TCRDV02-01*01
TRDV2*02,TRDV2,TCRDV02-01*02,TCRDV02-01*02
TRDV2*03,TRDV2,TCRDV02-01*03,TCRDV02-01*03
TRDV3*01,TRDV3,TCRDV03-01*01,TCRDV03-01*01
TRDV3*02,TRDV3,TCRDV03-01*02,TCRDV03-01*02
TRGC1*01,TRGC1,NoData,NoData
TRGC1*02,TRGC1,NoData,NoData
TRGC1*03,TRGC1,NoData,NoData
TRGC1*04,TRGC1,NoData,NoData
TRGC1*05,TRGC1,NoData,NoData
TRGC2*01,TRGC2,NoData,NoData
TRGC2*02,TRGC2,NoData,NoData
TRGC2*03,TRGC2,NoData,NoData
TRGC2*04,TRGC2,NoData,NoData
TRGC2*05,TRGC2,NoData,NoData
TRGC2*06,TRGC2,NoData,NoData
TRGC2*07,TRGC2,NoData,NoData
TRGC2*08,TRGC2,NoData,NoData
TRGJ1*01,TRGJ1,TCRGJ01-01*01,TCRGJ01-01*01
TRGJ1*02,TRGJ1,TCRGJ01-01*02,TCRGJ01-01*02
TRGJ2*01,TRGJ2,TCRGJ02-01*01,TCRGJ02-01*01
TRGJP*01,TRGJP,TCRGJP-01*01,TCRGJP-01*01
TRGJP1*01,TRGJP1,TCRGJP01-01*01,TCRGJP01-01*01
TRGJP2*01,TRGJP2,TCRGJP02-01*01,TCRGJP02-01*01
TRGV1*01,TRGV1,TCRGV01-01*01,TCRGV01-01*01
TRGV10*01,TRGV10,TCRGV10-01*01,TCRGV10-01*01
TRGV10*02,TRGV10,TCRGV10-01*02,TCRGV10-01*02
TRGV11*01,TRGV11,TCRGV11-01*01,TCRGV11-01*01
TRGV11*02,TRGV11,TCRGV11-01*02,TCRGV11-01*02
TRGV2*01,TRGV2,TCRGV02-01*01,TCRGV02-01*01
TRGV2*02,TRGV2,TCRGV02-01*02,TCRGV02-01*02
TRGV2*03,TRGV2,TCRGV02-01*03,TCRGV02-01*03
TRGV3*01,TRGV3,TCRGV03-01*01,TCRGV03-01*01
TRGV3*02,TRGV3,TCRGV03-01*02,TCRGV03-01*02
TRGV4*01,TRGV4,TCRGV04-01*01,TCRGV04-01*01
TRGV4*02,TRGV4,TCRGV04-01*02,TCRGV04-01*02
TRGV5*01,TRGV5,TCRGV05-01*01,TCRGV05-01*01
TRGV5P*01,TRGV5P,TCRGV5P-01*01,TCRGV5P-01*01
TRGV5P*02,TRGV5P,TCRGV5P-01*02,TCRGV5P-01*02
TRGV6*01,TRGV6,TCRGV06-01*01,TCRGV06-01*01
TRGV6*02,TRGV6,TCRGV06-01*02,TCRGV06-01*02
TRGV7*01,TRGV7,TCRGV07-01*01,TCRGV07-01*01
TRGV8*01,TRGV8,TCRGV08-01*01,TCRGV08-01*01
TRGV9*01,TRGV9,TCRGV09-01*01,TCRGV09-01*01
TRGV9*02,TRGV9,TCRGV09-01*02,TCRGV09-01*02
TRGVA*01,TRGVA,TCRGVA-01*01,TCRGVA-01*01
TRGVB*01,TRGVB,TCRGVB-01*01,TCRGVB-01*01
TRGVB*02,TRGVB,TCRGVB-01*02,TCRGVB-01*02
